pothole_id,confidence,frame_number,original_frame_number,frames_visible,bbox_x,bbox_y,bbox_w,bbox_h,latitude,longitude,altitude,speed,image_filename
pothole_001,0.6584,21,759,3,2383.91,900.34,295.36,159.67,,,,,pothole_001_frame_759.jpg
pothole_002,0.5255,21,693,1,2433.4,510.79,181.81,61.56,,,,,pothole_002_frame_693.jpg
pothole_003,0.5665,22,726,2,2440.57,662.33,248.18,96.99,,,,,pothole_003_frame_726.jpg
pothole_004,0.8552,22,858,9,1950.98,420.93,174.82,38.47,,,,,pothole_004_frame_858.jpg
pothole_005,0.7339,26,858,1,1436.87,302.72,113.15,19.64,,,,,pothole_005_frame_858.jpg
pothole_006,0.7404,27,891,1,560.44,1425.23,113.16,54.9,,,,,pothole_006_frame_891.jpg
pothole_007,0.7599,27,891,1,1245.79,379.91,122.56,24.48,,,,,pothole_007_frame_891.jpg
pothole_008,0.8554,27,891,1,1802.41,558.22,228.74,57.89,,,,,pothole_008_frame_891.jpg
pothole_009,0.7881,28,924,1,1082.6,499.29,162.55,36.48,,,,,pothole_009_frame_924.jpg
pothole_010,0.8286,28,924,1,1703.03,819.33,326.11,113.09,,,,,pothole_010_frame_924.jpg
pothole_011,0.6704,29,957,1,667.45,725.78,238.34,67.28,,,,,pothole_011_frame_957.jpg
pothole_013,0.8971,30,990,1,0.68,1106.28,292.26,142.41,,,,,pothole_013_frame_990.jpg
pothole_014,0.6123,31,1023,1,3043.05,1098.57,109.6,42.92,,,,,pothole_014_frame_1023.jpg
pothole_015,0.6791,32,1056,1,3220.44,1109.21,118.97,47.75,,,,,pothole_015_frame_1056.jpg
pothole_016,0.6389,33,1089,1,3198.89,1299.23,116.04,52.59,,,,,pothole_016_frame_1089.jpg
pothole_017,0.5763,33,1089,1,1562.62,872.71,72.06,33.68,,,,,pothole_017_frame_1089.jpg
pothole_019,0.6715,34,1122,3,3118.85,1823.71,105.15,65.03,,,,,pothole_019_frame_1122.jpg
pothole_020,0.8148,34,1122,5,2084.35,840.44,147.21,53.25,,,,,pothole_020_frame_1122.jpg
pothole_023,0.5914,38,1254,1,3397.65,1963.56,102.64,64.92,,,,,pothole_023_frame_1254.jpg
